"country","founded","id","industry","linkedin_url","locality","name","region","size","website"
"france","2022","filigran","newspapers","linkedin.com/company/filigran","paris","filigran","ile-de-france","11-50","juwelier-filigran.de"
"brazil","2020","revista-do-queijo","newspapers","linkedin.com/company/revista-do-queijo","porto alegre","revista do queijo","rio grande do sul","1-10","revistadoqueijo.com.br"
"india","2020","akashbaani","newspapers","linkedin.com/company/akashbaani","","akashbaani","uttar pradesh","11-50","akashbaani.com"
"spain","2020","economianews","newspapers","linkedin.com/company/economianews","","economianews","madrid","1-10","economianews.es"
"united kingdom","2020","the-london-finance-journal","newspapers","linkedin.com/company/the-london-finance-journal","london","the london financial","greater london","11-50","thelondonfinancial.com"
"australia","2020","cairns-local-news","newspapers","linkedin.com/company/cairns-local-news","","cairns local news","","1-10","cairnslocalnews.com.au"
"india","2020","gaazaali-forex","newspapers","linkedin.com/company/gaazaali-forex","mumbai","the mumbai news","maharashtra","1-10","themumbainews.in"
"india","2020","the-frontier-vedette","newspapers","linkedin.com/company/the-frontier-vedette","new delhi","the frontier vedette","delhi","11-50","frontiervedette.com"
"italy","2020","pensieronesto","newspapers","linkedin.com/company/pensieronesto","","pensieronesto.it","","1-10","pensieronesto.it"
"united kingdom","2020","rattle-magazine","newspapers","linkedin.com/company/rattle-magazine","","rattle magazine","liverpool","11-50","rattleliverpool.co.uk"
"brazil","2020","jornal-elipse","newspapers","linkedin.com/company/jornal-elipse","campinas","jornal elipse","sao paulo","11-50","jornalelipse.blogspot.com"
"portugal","2020","noticiasdefamalicao","newspapers","linkedin.com/company/noticiasdefamalicao","vila nova de famalicao","notícias de famalicão","braga","1-10","noticiasdefamalicao.pt"
"","2020","jornal-crónico","newspapers","linkedin.com/company/jornal-crónico","","jornal crónico","","1-10","jornalcronico.com"
"germany","2020","englishpostde","newspapers","linkedin.com/company/englishpostde","nuremberg","english post","bavaria","1-10","englishpost.de"
"brazil","2020","60segundos","newspapers","linkedin.com/company/60segundos","","60segundos","","1-10","60segundos.news"
"ghana","2020","business24gh","newspapers","linkedin.com/company/business24gh","accra","business24 ghana","greater accra","11-50","thebusiness24online.net"
"spain","2020","sporthd-news","newspapers","linkedin.com/company/sporthd-news","valencia","sporthd news","valencia","51-200","sporthd.news"
"canada","2020","thinkfirstnews","newspapers","linkedin.com/company/thinkfirstnews","montreal","thinkfirst news","quebec","1-10","thinkfirst.news"
"","2020","payattention-news","newspapers","linkedin.com/company/payattention-news","","payattention news","","1-10","payattention.news"
"portugal","2020","green-future-auto-magazine","newspapers","linkedin.com/company/green-future-auto-magazine","matosinhos","green future - auto magazine","porto","1-10","greenfuture.pt"
"canada","2020","western-unfiltered","newspapers","linkedin.com/company/western-unfiltered","london","western unfiltered","ontario","51-200",""
"poland","2020","indepandent-media-company","newspapers","linkedin.com/company/indepandent-media-company","","independent media company","","1-10","independentmedia.company"
"poland","2020","business-intelligence-mag","newspapers","linkedin.com/company/business-intelligence-mag","kraków","business intelligence dwumiesięcznik","lesser poland voivodeship","1-10",""
"brazil","2020","direito-em-pautas","newspapers","linkedin.com/company/direito-em-pautas","","direito em pautas","sao paulo","11-50","direitoempautas.com"
"united kingdom","2020","excapsapolitics","newspapers","linkedin.com/company/excapsapolitics","london","ex capsa politics","greater london","11-50","excapsapolitics.com"
"mexico","2020","tukanmx","newspapers","linkedin.com/company/tukanmx","","tukanmx","","1-10","tukanmx.com"
"united states","2020","misbarfc","newspapers","linkedin.com/company/misbarfc","","misbarfc","washington","11-50","misbar.com"
"brazil","2020","jornaloveterano","newspapers","linkedin.com/company/jornaloveterano","","o veterano","","11-50","medium.com/o-veterano"
"united kingdom","2020","manchestermill","newspapers","linkedin.com/company/manchestermill","","the mill","manchester","1-10","manchestermill.co.uk"
"india","2020","onfurthernote","newspapers","linkedin.com/company/onfurthernote","indore","on further note","madhya pradesh","1-10","onfurthernote.in"
"spain","2020","moon-startup","newspapers","linkedin.com/company/moon-startup","","moon startup","madrid","1-10","moonstartup.org"
"india","2020","vit-today","newspapers","linkedin.com/company/vit-today","","vit today","tamil nadu","11-50","vittoday.com"
"","2020","thespikegg","newspapers","linkedin.com/company/thespikegg","","thespike.gg","","11-50","thespike.gg"
"united states","2020","longmontleader","newspapers","linkedin.com/company/longmontleader","longmont","the longmont leader","colorado","1-10","longmontleader.com"
"united states","2020","chefs-for-impact","newspapers","linkedin.com/company/chefs-for-impact","","chefs for impact","new york","1-10","chefs4impact.org"
"france","2020","european-data-journal","newspapers","linkedin.com/company/european-data-journal","paris","eudajou","ile-de-france","1-10","eudajou.org"
"united states","2020","blmpress","newspapers","linkedin.com/company/blmpress","richmond","blm press","virginia","1-10","blmpress.org"
"pakistan","2020","jayzoq-media","newspapers","linkedin.com/company/jayzoq-media","lahore","jayzoq media","punjab","11-50","jayzoq.com"
"senegal","2020","initiatives-africa","newspapers","linkedin.com/company/initiatives-africa","dakar","initiatives africa","dakar","1-10","initiatives.africa"
"uganda","2020","afritechpost","newspapers","linkedin.com/company/afritechpost","kampala","afritechpost","kampala","201-500","afritechpost.com"
"united states","2020","chicago-thinker","newspapers","linkedin.com/company/chicago-thinker","chicago","chicago thinker","illinois","11-50","facebook.com/chicagothinker"
"","2020","themirrorint","newspapers","linkedin.com/company/themirrorint","","the mirror","","201-500","admissionportal.io"
"brazil","2020","jornal-grande-abc","newspapers","linkedin.com/company/jornal-grande-abc","santo andre","jornal grande abc","sao paulo","1-10","jornalgrandeabc.com"
"brazil","2020","revista-qualé","newspapers","linkedin.com/company/revista-qualé","","revista qualé","sao paulo","1-10",""
"italy","2020","domanieditoriale","newspapers","linkedin.com/company/domanieditoriale","roma","domani","veneto","51-200","oggiedomani.substack.com"
"united kingdom","2020","the-corporate-feed","newspapers","linkedin.com/company/the-corporate-feed","london","the corporate feed","england","51-200","thecorporatefeed.com"
"france","2020","unboutdumonde","newspapers","linkedin.com/company/unboutdumonde","paris","un bout du monde","ile-de-france","1-10","unboutdumonde.org"
"germany","2020","medieninsider","newspapers","linkedin.com/company/medieninsider","","medieninsider","berlin","1-10","medieninsider.com"
"denmark","2020","agrinewsdk","newspapers","linkedin.com/company/agrinewsdk","langeskov","agrinews","syddanmark","1-10","agrinews.dk"
"united states","2020","san-lorenzo-valley-post","newspapers","linkedin.com/company/san-lorenzo-valley-post","santa cruz","san lorenzo valley post","california","1-10","slvpost.com"
"united states","2020","current-affairs-times","newspapers","linkedin.com/company/current-affairs-times","jersey city","current affairs times","new jersey","1-10","currentaffairstimes.com"
"france","2020","france-messagerie","newspapers","linkedin.com/company/france-messagerie","paris","france messagerie","ile-de-france","201-500","francemessagerie.fr"
"france","2020","ourscom","newspapers","linkedin.com/company/ourscom","lyon","our(s) - le média de la communication","auvergne-rhône-alpes","1-10","ourscom.fr"
"brazil","2020","real-time-1","newspapers","linkedin.com/company/real-time-1","","real time 1","","11-50","realtime1.com.br"
"india","2020","info-online","newspapers","linkedin.com/company/info-online","new delhi","info online","delhi","1-10","infonline.co"
"united states","2020","metal-tech-news","newspapers","linkedin.com/company/metal-tech-news","eagle river","metal tech news","alaska","1-10","metaltechnews.com"
