Word,Grade_Lv
uncomfortable,1
surprise,1
suggestion,1
suddenly,1
stomped,1
squirm,1
spotless,1
special,1
searching,1
rhyme,1
respect,1
report,1
repeat,1
reminds,1
question,1
proud,1
protect,1
problem,1
prefer,1
precious,1
positive,1
ordinary,1
opposite,1
observing,1
notice,1
note,1
nibbled,1
nervous,1
negative,1
mumble,1
miserable,1
measuring,1
lovely,1
listen,1
list,1
leader,1
jealous,1
invite,1
investigate,1
instead,1
important,1
ignore,1
huge,1
grumpy,1
gigantic,1
frustrated,1
focus,1
feast,1
fascinating,1
fair,1
explore,1
exhausted,1
enormous,1
embarrassed,1
discover,1
disappointed,1
directions,1
decide,1
curve,1
curious,1
consequences,1
comfortable,1
calm,1
attention,1
annoy,1
 worried,1
 wonder,1
 warning,1
volunteer,2
vanish,2
treasure,2
swoop,2
sway,2
suppose,2
sum,2
stormy,2
steaming,2
similar,2
shivered,2
separate,2
revise,2
records,2
publish,2
process,2
predict,2
poke,2
plan,2
peeking,2
opinion,2
observed,2
noticed,2
non-living,2
necessary,2
moist,2
matter,2
march,2
living,2
leaned,2
label,2
insist,2
include,2
helpful,2
gust,2
gather,2
gasp,2
frown,2
frighten,2
friendly,2
flock,2
famous,2
expect,2
exercise,2
estimate,2
escape,2
energy,2
effect,2
edit,2
drowsy,2
different,2
difference,2
diagram,2
detail,2
describe,2
data,2
cycle,2
cooperation,2
continue,2
connection,2
conclusion,2
community,2
classify,2
cause,2
avoid,2
arranged,2
analyze,2
amusing,2
amaze,2
vehicle,3
valuable,3
unusual,3
unite,3
typical,3
tentacle,3
tackle,3
stumble,3
starve,3
solution,3
slumber,3
signal,3
shiver,3
scatter,3
scar,3
ridiculous,3
repair,3
region,3
recognize,3
purpose,3
prank,3
pleasant,3
persuade,3
peer,3
patient,3
passage,3
occur,3
multiply,3
mend,3
marine,3
irritate,3
invitation,3
intelligent,3
infer,3
gist,3
gathered,3
furious,3
flexible,3
fatal,3
experience,3
example,3
examine,3
event,3
endangered,3
elect,3
division,3
develop,3
details,3
defend,3
dangle,3
culture,3
credit,3
contrast,3
continent,3
construct,3
compare,3
coast,3
climate,3
careless,3
attract,3
assist,3
arrange,3
argue,3
agreeable,3
additional,3
usually,4
tradition,4
threatens,4
temporary,4
surround,4
support,4
summarize,4
simplify,4
select,4
scarce,4
result,4
represent,4
recommend,4
reason,4
rarely,4
previous,4
prediction,4
organized,4
obvious,4
observe,4
minimum,4
maximum,4
insert,4
inform,4
increasing,4
frequent,4
fortunate,4
experiment,4
exclaimed,4
except,4
evidence,4
essential,4
entirety,4
eliminate,4
effective,4
distribute,4
demonstrate,4
decrease,4
critical,4
convince,4
confirm,4
concluding,4
circular,4
calculate,4
border,4
automatically,4
argued,4
approached,4
adaptation,4
accomplish,4
vertical,5
unfamiliar,5
unexpected,5
tremble,5
tolerate,5
tension,5
superior,5
source,5
significant,5
revolt,5
review,5
reference,5
recently,5
primary,5
opposed,5
navigate,5
influence,5
immigrate,5
illegible,5
identify,5
huddle,5
hostile,5
horizontal,5
historic,5
hilarious,5
hesitate,5
heroic,5
harsh,5
glare,5
familiar,5
extend,5
express,5
explain,5
expectation,5
expansion,5
exhaust,5
evaluate,5
establish,5
escalate,5
equivalent,5
effortless,5
edible,5
dominate,5
dissatisfied,5
decade,5
context,5
consistent,5
conflict,5
conclude,5
claim,5
cease,5
briskly,5
argument,5
approximate,5
approval,5
approach,5
anxious,5
announce,5
accurate,5
abolish,5
violate,6
viewpoint,6
variable,6
unique,6
unanimous,6
transfer,6
thesis,6
tentative,6
suspense,6
substitute,6
strategy,6
retrieve,6
repetition,6
reinforce,6
recount,6
realistic,6
quote,6
priority,6
peculiar,6
origin,6
oblivious,6
obedient,6
narrate,6
massive,6
manipulate,6
lofty,6
irrigate,6
insists,6
hypothesis,6
history,6
government,6
genuine,6
frequency,6
ferocious,6
factor,6
extensive,6
expression,6
exaggerate,6
equation,6
encourage,6
elaborate,6
drastic,6
dimension,6
democracy,6
declare,6
contribute,6
continuous,6
consequence,6
congruent,6
compose,6
civilization,6
citizen,6
chronological,6
catastrophe,6
benefit,6
artifact,6
appropriate,6
anticipate,6
adjacent,6
adequate,6
adapt,6
accumulate,6
treason,7
toxic,7
talisman,7
sovereign,7
signify,7
rudimentary,7
resolve,7
relinquish,7
punctual,7
prospective,7
prominent,7
persuasive,7
perceive,7
oppress,7
opposition,7
omit,7
obnoxious,7
negligent,7
necessity,7
naive,7
mitigate,7
mandatory,7
ludicrous,7
libel,7
liaison,7
legendary,7
irrelevant,7
irate,7
intimidate,7
initiate,7
inhabitants,7
infuriate,7
inevitable,7
industrious,7
indifferent,7
impartial,7
formidable,7
famished,7
exuberant,7
exposition,7
exonerated,7
emphasize,7
eligible,7
diversity,7
devour,7
devious,7
devastate,7
derogatory,7
demeanor,7
deceitful,7
dawdle,7
correspond,7
copious,7
consult,7
consecutive,7
connotation,7
confront,7
condor,7
condemn,7
concur,7
conclusive,7
component,7
competent,7
compel,7
characterize,7
boycott,7
bias,7
bewildered,7
bewilder,7
belligerent,7
bamboozle,7
authentic,7
attribute,7
antagonize,7
amendment,7
alternative,7
allocate,7
allege,7
agitate,7
affiliation,7
admonish,7
addict,7
acquire,7
acknowledge,7
abruptly,7
abrasive,7
abdicate,7
validate,8
universal,8
tirade,8
theory,8
surmise,8
spontaneous,8
specific,8
simultaneous,8
simulate,8
reverberate,8
response,8
resilient,8
recur,8
rebuke,8
rebuff,8
rebel,8
pseudonym,8
prudent,8
proprietor,8
profound,8
procedure,8
prevalent,8
precise,8
plagiarize,8
perspective,8
perish,8
obsolete,8
novice,8
mutiny,8
modify,8
merge,8
interrogate,8
integrate,8
inspire,8
imperative,8
impel,8
imminent,8
gruesome,8
generation,8
formula,8
feasible,8
evoke,8
endeavor,8
encompass,8
embark,8
elapse,8
despondent,8
despicable,8
derive,8
depict,8
corroborate,8
conscientious,8
conjecture,8
confiscate,8
concise,8
compels,8
commence,8
capable,8
bizarre,8
bisect,8
ban,8
avid,8
authority,8
audacious,8
assumption,8
assimilate,8
apprehend,8
apathy,8
anthology,8
anonymous,8
anarchy,8
amiss,8
ambiguous,8
abhor,8
vulnerable,9
viable,9
verify,9
valid,9
turmoil,9
traumatic,9
technique,9
tangible,9
succumb,9
squander,9
scrutiny,9
sabotage,9
retaliate,9
respective,9
redundant,9
reconcile,9
rationale,9
rapport,9
punitive,9
proponent,9
ponder,9
pertinent,9
perception,9
pacify,9
obscure,9
niche,9
mortify,9
mediate,9
lucrative,9
jeopardize,9
isolate,9
interpret,9
intercede,9
innovation,9
infamous,9
indolent,9
incoherent,9
incentive,9
imply,9
implication,9
implausible,9
hypothetical,9
generate,9
formulate,9
fluctuate,9
feign,9
falter,9
explicit,9
exemplify,9
excerpt,9
exacerbate,9
elude,9
elicit,9
elation,9
diversion,9
distort,9
dissent,9
diligent,9
dilemma,9
digress,9
detract,9
deficient,9
dearth,9
cynic,9
cursory,9
credible,9
comprehensive,9
beneficial,9
arbitrary,9
animosity,9
ambivalent,9
alleviate,9
absolve,9
zealot,10
vindicate,10
unilateral,10
tumult,10
travesty,10
tenuous,10
subsidize,10
subordinate,10
stringent,10
static,10
sanction,10
retrospect,10
repugnant,10
relegate,10
rejuvenate,10
redeem,10
recalcitrant,10
quantitative,10
qualitative,10
propensity,10
proficient,10
preposterous,10
preclude,10
precipitate,10
precarious,10
perfunctory,10
panacea,10
oppose,10
opportune,10
omnipotent,10
nonchalant,10
meticulous,10
lax,10
jurisdiction,10
inherent,10
indiscriminate,10
indigenous,10
incongruous,10
impetuous,10
illicit,10
heinous,10
fraudulent,10
fortuitous,10
facilitate,10
fabricate,10
expedite,10
estrange,10
eradicate,10
equitable,10
emulate,10
elusive,10
egocentric,10
dormant,10
docile,10
divert,10
distraught,10
dissident,10
disseminate,10
disparity,10
deplore,10
criteria,10
contingent,10
constituent,10
concurrent,10
comply,10
collaborate,10
cohesive,10
coalition,10
circumvent,10
bureaucratic,10
bolster,10
augment,10
assiduous,10
analogy,10
advocate,10
abstract,10
whimsical,11
vacillate,11
usurp,11
unobtrusive,11
unimpeachable,11
turbulence,11
substantiate,11
scrutinize,11
rigorous,11
resolution,11
rescind,11
rectify,11
proximity,11
prerequisite,11
ponderous,11
obliterate,11
meander,11
meager,11
listless,11
lavish,11
judicious,11
intangible,11
insurgent,11
indoctrinate,11
indict,11
incorrigible,11
incite,11
incidental,11
incessant,11
iconoclast,11
hypocrisy,11
hindrance,11
heretic,11
haphazard,11
grueling,11
frivolous,11
extraneous,11
expedient,11
exemplary,11
erroneous,11
equivocal,11
egregious,11
effervescent,11
edifice,11
duplicity,11
dissonance,11
disparage,11
didactic,11
despot,11
deprecate,11
delineate,11
deference,11
decadence,11
debilitate,11
cordial,11
contract,11
conciliatory,11
composure,11
commiserate,11
cognizant,11
coalesce,11
clamor,11
chastise,11
censure,11
caustic,11
catharsis,11
catalyst,11
capitulate,11
callous,11
cajole,11
brevity,11
biased,11
aversion,11
authoritarian,11
astute,11
articulate,11
arduous,11
archaic,11
appall,11
anomaly,11
amicable,11
ameliorate,11
altercation,11
affinity,11
aesthetic,11
accommodate,11
accolade,11
aberration,11
wary,12
venerable,12
transient,12
tenacious,12
tactful,12
surreptitious,12
suppress,12
superfluous,12
superficial,12
subtle,12
submissive,12
spurious,12
spontaneity,12
sagacity,12
reverence,12
restrained,12
renovation,12
reconciliation,12
reclusive,12
rancorous,12
querulous,12
provocative,12
prosperity,12
prosaic,12
procrastinate,12
pretentious,12
precocious,12
perfidious,12
parched,12
ostentatious,12
orator,12
opulent,12
mundane,12
longevity,12
lobbyist,12
jubilation,12
intuitive,12
intrepid,12
integrity,12
inconsequential,12
incompatible,12
impute,12
hedonist,12
haughty,12
hackneyed,12
frugal,12
florid,12
extenuating,12
